<--------------------,Recruitment info in previous tab,,,,,,,,,"If not listed, character gains",,,,,"Base stats were all calculated. If anything looks odd, please contact me!",,,,,,,,,,,,Remember that you need to add class growths!,,,,I tested Alear and Dragon Child growths:,,,https://twitter.com/Aveyn_Knight/status/1616091790746222592,,,,,,,,,,,,,,,,Seems odd?,,,,,,,,,,,
,Sorry about any messed up symbolsÃ©,,,,,,,,,Proficiency from their initial class,,,,Internal,Enemy stats are for Normal mode (keep scrolling ------------------------------------> for Hard mode stats),,,,,,,,,,,,,,,,,,"Also Sight and Movement growth, but all 0",,,,,,,,,,,,,,,,,,,Hard mode stats,,,,,,,,,
Unknown Soldier,,PID_M003_イルシオン兵_ソードファイター,Sword Fighter,---,Male,---,---,,Default,---,---,,4,0,20,4,0,7,6,2,1,0,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,Mysterious foreign troops who attacked without warning.,22,6,0,9,10,4,3,0,5,4
Unknown Soldier,,PID_M003_イルシオン兵_アーチャー,Archer,---,Female,---,---,,Default,---,---,,4,0,19,5,0,9,3,1,0,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,Mysterious foreign troops who attacked without warning.,21,8,0,11,6,3,2,0,4,4
Unknown Soldier,,PID_M003_イルシオン兵_ランスペガサス,Lance Flier,---,Female,---,---,,Default,---,---,,5,0,21,4,2,8,8,2,6,0,4,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,Mysterious foreign troops who attacked without warning.,23,7,4,9,11,5,9,0,4,5
Unknown Soldier,,PID_M003_イルシオン兵_ランスペガサス_イベント,Lance Flier,---,Female,---,---,,Default,---,---,,5,0,21,4,2,8,8,2,6,0,4,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,Mysterious foreign troops who attacked without warning.,23,7,4,9,11,5,9,0,4,5
Rodine,Chapter 4,PID_M004_イルシオン兵_ボス,Lance Armor,---,Male,---,---,,Default,---,---,,10,0,35,8,0,9,3,13,2,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe with Death Convo),(Hit/Avoid -10),Stalwart,Veteran+,---,---,A general of Elusia. Commands Corrupted under his nation's flag.,34,13,0,11,3,18,2,0,9,4
Ruffian,,PID_M004_蛮族,Barbarian,---,Male,---,---,,Default,---,---,,7,0,29,8,0,2,5,2,0,0,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,One of a band of ruffians who have chosen destruction and pillaging as their livelihood.,32,13,0,3,7,4,2,0,10,4
Corrupted,,PID_M004_異形兵_ランスアーマー,Lance Armor,---,Female,---,---,,Default,---,---,,7,0,28,7,0,8,1,10,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,31,11,0,9,1,14,1,0,8,4
Corrupted,,PID_M004_異形兵_アクスアーマー,Axe Armor,---,Male,---,---,,Default,---,---,,7,0,28,7,0,8,0,10,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,31,11,0,9,1,14,1,0,8,4
Corrupted,,PID_M004_異形兵_ランスファイター,Lance Fighter,---,Male,---,---,,Default,---,---,,6,0,25,6,2,9,5,3,0,0,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,27,10,4,11,8,6,4,0,6,4
Corrupted,,PID_M004_異形兵_アーチャー,Archer,---,Female,---,---,,Default,---,---,,6,0,21,5,0,10,4,0,0,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,23,9,1,12,7,4,3,0,5,4
Corrupted,,PID_M004_異形兵_アクスナイト,Axe Cavalier,---,Male,---,---,,Default,---,---,,7,0,26,5,1,10,6,3,1,0,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,28,9,2,11,10,7,4,1,7,5
Corrupted,,PID_M004_異形兵_マージ,Mage,---,Female,---,---,,Default,---,---,,6,0,19,1,6,7,5,0,6,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,20,2,10,8,8,3,10,0,5,4
Corrupted,,PID_M004_異形兵_ソードペガサス_雑魚,Sword Flier,---,Female,---,---,,Default,---,---,,6,0,23,4,3,8,8,1,5,1,4,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,25,7,4,10,12,5,9,2,5,5
Corrupted,,PID_M004_異形兵_ソードペガサス,Sword Flier,---,Female,---,---,,Default,---,---,,7,0,23,4,3,9,9,2,6,1,4,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,26,8,4,11,12,5,9,2,5,5
Corrupted,,PID_M004_異形兵_ボス側近,Mage,---,Female,---,---,,Default,---,---,,7,0,19,1,6,7,5,0,6,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Critical 0),(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,20,2,10,8,7,3,10,0,5,4
Firenese Villager,,PID_M004_村人おじいさん,#N/A,---,Male,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,1,0,0,0,0,0,0,0,0,1
Firenese Villager,,PID_M004_村人お姉さん,#N/A,---,Female,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,1,0,0,0,0,0,0,0,0,1
Corrupted,Paralogue 1,PID_S001_異形兵_ボス,Archer,---,Female,---,---,,Default,---,---,,11,0,31,5,0,13,8,7,4,3,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe with Death Convo),(Hit/Avoid -20),---,Unbreakable,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,34,9,1,16,9,10,7,4,6,4
Corrupted,,PID_S001_異形兵_アクスファイター_弱,Axe Fighter,---,Female,---,---,,Default,---,---,,7,0,29,8,0,1,6,3,2,0,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,33,11,0,2,7,5,3,0,7,4
Corrupted,,PID_S001_異形兵_アーチャー_弱,Archer,---,Male,---,---,,Default,---,---,,7,0,21,6,0,11,6,2,1,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,24,9,1,13,8,4,3,0,5,4
Corrupted,,PID_S001_異形兵_ソードナイト_弱,Sword Cavalier,---,Male,---,---,,Default,---,---,,8,0,26,7,1,10,8,5,3,0,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,30,10,2,12,10,8,5,0,6,5
Corrupted,,PID_S001_異形兵_ランスペガサス,Lance Flier,---,Female,---,---,,Default,---,---,,8,0,24,6,3,9,9,4,8,0,4,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,27,9,5,12,11,6,10,0,5,5
Corrupted,,PID_S001_異形兵_アクスファイター,Axe Fighter,---,Female,---,---,,Default,---,---,,8,0,30,10,0,1,6,3,1,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,34,13,0,2,8,5,2,0,8,4
Corrupted,,PID_S001_異形兵_アーチャー,Archer,---,Male,---,---,,Default,---,---,,7,0,21,7,0,11,6,2,1,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,24,10,1,13,8,4,3,0,5,4
Corrupted,,PID_S001_異形兵_ソードナイト,Sword Cavalier,---,Male,---,---,,Default,---,---,,8,0,26,7,1,10,8,5,3,0,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,30,10,2,12,10,8,5,0,7,5
Corrupted,,PID_S001_異形兵_マージ,Mage,---,Male,---,---,,Default,---,---,,7,0,19,1,8,7,7,1,8,0,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,20,2,11,9,9,3,11,0,5,4
Corrupted,,PID_S001_異形兵_蛮族,Barbarian,---,Female,---,---,,Default,---,---,,7,0,29,10,0,2,6,2,0,0,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,33,13,0,4,7,4,2,0,10,4
Sean,Jean's father,PID_S001_ジャン_父親,Martial Monk,---,Male,---,---,,Default,---,---,,6,0,23,5,7,8,9,6,11,4,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe Critical 0),---,---,---,---,---,Runs the only clinic in the village by the tea fields. Jean's father.,24,5,8,8,9,6,11,4,4,4
Firenese Villager,,PID_S001_村人_青年男,Villager,---,Male,---,---,,Default,---,---,,5,0,21,2,1,8,8,4,4,4,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe Critical 0),---,---,---,---,---,A citizen of the Kingdom of Firene.,22,3,1,9,8,5,4,4,5,4
Firenese Villager,,PID_S001_村人_青年女,Villager,---,Female,---,---,,Default,---,---,,5,0,21,2,1,8,8,4,4,4,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe Critical 0),---,---,---,---,---,A citizen of the Kingdom of Firene.,22,3,1,9,8,5,4,4,5,4
Firenese Villager,,PID_S001_村人_訪問,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Anje,Jean's mother,PID_S001_ジャン_母親,Villager,---,Female,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,#N/A,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_S001_村人_老人男,Villager,---,Male,---,---,,Default,---,---,,1,0,18,1,0,6,5,2,2,3,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,18,1,0,6,5,2,2,3,4,4
Firenese Villager,,PID_S001_村人女の子,#N/A,---,Female,---,---,,Default,---,---,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Kingdom of Firene.,1,0,0,0,0,0,0,0,0,1
Nelucce,Chapter 5,PID_M005_Irc_ボス,Axe Fighter,---,Male,---,---,,Default,---,---,,12,0,34,12,0,7,8,6,3,8,9,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"(Stuck), (Foe with Death Convo)",(Hit/Avoid -10),---,Unbreakable,---,---,A general of Elusia. Deployed to Firene to steal an Emblem Ring.,38,17,1,8,9,10,5,9,10,4
Elusian Soldier,,PID_M005_Irc_ソードファイター,Sword Fighter,---,Male,---,---,,Default,---,---,,9,0,24,5,0,10,11,2,1,2,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,26,9,1,11,13,6,5,2,6,4
Elusian Soldier,,PID_M005_Irc_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,8,0,30,9,0,6,6,1,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,33,13,0,7,7,5,2,0,8,4
Elusian Soldier,,PID_M005_Irc_ランスアーマー,Lance Armor,---,Male,---,---,,Default,---,---,,9,0,30,8,0,9,2,12,0,1,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,33,12,0,10,3,17,2,1,9,4
Elusian Soldier,,PID_M005_Irc_アーチャー,Archer,---,Female,---,---,,Default,---,---,,9,0,23,6,0,12,7,1,0,1,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,25,10,1,14,8,5,4,2,5,4
Elusian Soldier,,PID_M005_Irc_pltn1_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,9,0,31,9,0,7,7,2,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,34,13,0,7,8,5,2,0,8,4
Elusian Soldier,,PID_M005_Irc_pltn1_モンク,Martial Monk,---,Female,---,---,,Default,---,---,,8,0,21,3,4,7,7,2,7,2,3,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,23,6,8,8,8,5,12,2,4,4
Elusian Soldier,,PID_M005_Irc_pltn1_ソードファイター,Sword Fighter,---,Female,---,---,,Default,---,---,,9,0,24,5,0,10,11,2,1,2,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,26,9,1,11,13,6,5,2,6,4
Elusian Soldier,,PID_M005_Irc_pltn4_ランスアーマー,Lance Armor,---,Male,---,---,,Default,---,---,,9,0,30,8,0,9,2,12,0,1,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,33,12,0,10,3,17,2,1,9,4
Elusian Soldier,,PID_M005_Irc_pltn4_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,9,0,31,9,0,7,7,2,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,34,13,0,7,8,5,2,0,8,4
Elusian Soldier,,PID_M005_Irc_pltn4_アーチャー,Archer,---,Female,---,---,,Default,---,---,,8,0,22,5,0,11,7,1,0,1,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,24,10,1,13,8,4,3,1,5,4
Elusian Soldier,,PID_M005_Irc_pltn4_マージ,Mage,---,Female,---,---,,Default,---,---,,8,0,19,1,6,8,8,0,6,1,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,20,2,11,9,9,3,11,1,5,4
Elusian Soldier,,PID_M005_Irc_trsr_ソードファイター,Sword Fighter,---,Male,---,---,,Default,---,---,,9,0,24,3,0,10,9,2,1,2,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,26,9,1,11,13,6,5,2,6,4
Elusian Soldier,,PID_M005_Irc_trsr_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,8,0,30,6,0,6,6,1,0,0,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,33,13,0,7,7,5,2,0,8,4
Elusian Soldier,,PID_M005_Irc_trsr_ランスアーマー,Lance Armor,---,Female,---,---,,Default,---,---,,9,0,30,6,0,9,2,12,0,1,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,33,12,0,10,3,17,2,1,9,4
Elusian Soldier,,PID_M005_Irc_trsr_アーチャー,Archer,---,Female,---,---,,Default,---,---,,9,0,23,4,0,12,7,1,0,1,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,25,10,1,14,8,5,4,2,5,4
Elusian Soldier,,PID_M005_Irc_ランスナイト,Lance Cavalier,---,Female,---,---,,Default,---,---,,9,0,27,6,1,11,9,3,1,1,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,30,10,2,12,11,8,5,2,7,5
Elusian Soldier,,PID_M005_Irc_マージ,Mage,---,Female,---,---,,Default,---,---,,8,0,19,1,6,8,8,0,6,1,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,20,2,11,9,9,3,11,1,5,4
Thief,,PID_M005_シーフ,Thief,---,Male,---,---,,Default,---,---,,9,0,23,3,0,9,9,2,1,2,5,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,25,7,2,11,13,5,5,2,5,5
Teronda,Chapter 6,PID_M006_ボス,Barbarian,---,Male,---,---,,Default,---,---,,13,0,35,14,0,8,8,6,4,10,11,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe with Death Convo),(Hit/Avoid -10),---,Unbreakable,---,---,Boss of a band of thieves operating from a mountain stronghold. Has no morals where treasure is concerned.,38,18,1,9,10,12,7,10,11,4
Thief,,PID_M006_蛮族_指輪持ち,Barbarian,---,Male,---,---,,Default,---,---,,9,0,31,10,0,3,7,1,0,0,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Foe with Death Convo),(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,34,14,0,4,8,5,2,0,11,4
Thief,,PID_M006_蛮族M,Barbarian,---,Male,---,---,,Default,---,---,,9,0,31,10,0,3,7,1,0,0,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,34,14,0,4,8,5,2,0,11,4
Thief,,PID_M006_蛮族F,Barbarian,---,Female,---,---,,Default,---,---,,9,0,31,9,0,3,7,1,0,0,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,34,13,0,4,8,5,2,0,11,4
Thief,,PID_M006_マージ,Mage,---,Male,---,---,,Default,---,---,,10,0,20,1,9,8,8,0,7,2,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,21,3,12,10,9,4,12,2,5,4
Thief,,PID_M006_アーチャー,Archer,---,Male,---,---,,Default,---,---,,9,0,23,6,0,12,7,1,0,2,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,25,10,1,14,8,5,4,3,5,4
Thief,,PID_M006_ソードファイター,Sword Fighter,---,Female,---,---,,Default,---,---,,9,0,24,5,0,10,11,2,0,3,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,26,9,1,11,13,6,4,3,6,4
Thief,,PID_M006_シーフ,Thief,---,Male,---,---,,Default,---,---,,9,0,23,4,0,10,13,2,1,3,5,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,25,7,2,12,13,5,5,3,5,5
Mitan,Paralogue 2,PID_S002_蛮族_お頭,Barbarian,---,Female,---,---,,Default,---,---,,16,0,34,15,0,8,12,6,1,2,12,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"Anchor, (Foe with Death Convo)",(Hit/Avoid -10),Stalwart,Veteran+,---,---,The boss of a band of thieves in the borderlands who systematically rob every traveler who passes by.,42,19,1,8,11,8,4,2,12,4
Thief,,PID_S002_蛮族_ソードファイター,Sword Fighter,---,Male,---,---,,Default,---,---,,8,0,25,7,0,11,12,3,3,4,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,26,9,1,11,13,6,5,4,6,4
Thief,,PID_S002_蛮族_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,8,0,33,10,0,7,7,4,1,1,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,34,13,0,7,8,5,2,1,8,4
Thief,,PID_S002_蛮族_アクスアーマー,Axe Armor,---,Male,---,---,,Default,---,---,,8,0,32,8,0,10,3,13,0,3,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,33,12,0,10,3,17,2,3,9,4
Thief,,PID_S002_蛮族_アクスアーマー_中央,Axe Armor,---,Male,---,---,,Default,---,---,,3,0,27,5,0,4,2,11,0,2,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,28,7,0,8,2,13,1,2,8,4
Thief,,PID_S002_蛮族_アーチャー,Archer,---,Female,---,---,,Default,---,---,,8,0,24,6,0,13,8,3,2,3,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,28,10,1,14,8,6,4,4,5,4
Thief,,PID_S002_蛮族_マージ,Mage,---,Female,---,---,,Default,---,---,,8,0,20,1,7,9,9,2,9,3,5,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,21,3,11,9,9,3,11,3,5,4
Thief,,PID_S002_蛮族_モンク_中央,Martial Monk,---,Female,---,---,,Default,---,---,,8,0,23,3,5,8,8,4,10,4,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,23,6,9,9,8,6,12,5,4,4
Thief,,PID_S002_蛮族_シーフ,Thief,---,Female,---,---,,Default,---,---,,8,0,25,6,0,13,12,6,3,4,5,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,27,10,2,16,14,10,5,4,5,5
Thief,,PID_S002_蛮族_シーフ_2,Thief,---,Female,---,---,,Default,---,---,,8,0,25,6,0,13,12,6,3,4,5,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,27,10,2,16,14,10,5,4,5,5
Thief,,PID_S002_蛮族_アクスアーマー_宝物庫西,Axe Armor,---,Male,---,---,,Default,---,---,,8,0,30,8,0,10,3,13,0,3,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An opportunist using the chaos of war as cover to steal.,33,12,0,10,3,17,2,3,9,4
Thief,,PID_S002_蛮族_アクスファイター_宝物庫西,Axe Fighter,---,Female,---,---,,Default,---,---,,8,0,28,8,0,4,7,3,1,1,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,29,10,0,7,8,4,2,1,8,4
Thief,,PID_S002_蛮族_ソードファイター_宝物庫西2,Sword Fighter,---,Male,---,---,,Default,---,---,,8,0,25,7,0,11,12,3,3,4,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,26,9,1,11,13,6,5,4,6,4
Thief,,PID_S002_蛮族_アクスアーマー_宝物庫東,Axe Armor,---,Male,---,---,,Default,---,---,,8,0,30,9,0,10,3,15,0,3,8,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,33,12,0,10,3,17,2,3,9,4
Thief,,PID_S002_蛮族_ソードファイター_宝物庫東,Sword Fighter,---,Male,---,---,,Default,---,---,,8,0,25,7,0,11,12,3,3,4,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An opportunist using the chaos of war as cover to steal.,26,9,1,11,13,6,5,4,6,4
